2025-09-29 10:54:46.480 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:54:46.481 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:54:46.481 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:54:46.481 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:54:46.481 | WARNING  | __main__:coal_mixed_integer_optimization_v2:118 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:56:49.479 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:56:49.479 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:56:49.479 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:56:49.479 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:56:49.479 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:57:10.844 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:57:10.844 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:57:10.844 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:57:10.844 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
2025-09-29 10:57:10.844 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[5]未指定煤种和比例，跳过
2025-09-29 10:57:28.811 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[1]未指定煤种和比例，跳过
2025-09-29 10:57:28.811 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[2]未指定煤种和比例，跳过
2025-09-29 10:57:28.811 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[3]未指定煤种和比例，跳过
2025-09-29 10:57:28.811 | WARNING  | __main__:coal_mixed_integer_optimization_v2:119 - 煤仓[4]未指定煤种和比例，跳过
